iter	Passed	Remaining
212	28716	106103
213	28879	106073
214	28946	105689
215	29001	105266
216	29076	104914
217	29144	104545
218	29286	104441
219	29342	104032
220	29411	103672
221	29498	103378
222	29624	103221
223	29710	102925
224	29839	102780
225	29969	102637
226	30089	102462
227	30157	102111
228	30252	101854
229	30413	101819
230	30480	101468
231	30548	101125
232	30669	100957
233	30790	100791
234	30857	100450
235	30982	100299
236	31069	100024
237	31136	99688
238	31230	99441
239	31353	99285
240	31410	98922
241	31499	98662
242	31660	98630
243	31782	98472
244	31846	98139
245	31933	97878
246	32000	97554
247	32159	97515
248	32207	97139
249	32262	96786
250	32345	96520
251	32433	96269
252	32499	95957
253	32554	95613
254	32609	95271
255	32699	95032
256	32768	94734
257	32838	94441
258	32926	94202
259	33011	93956
260	33067	93628
261	33159	93404
262	33228	93114
263	33288	92804
264	33346	92488
265	33436	92265
266	33601	92246
267	33693	92027
268	33749	91713
269	33835	91481
270	33901	91195
271	33967	90913
272	34023	90605
273	34089	90325
274	34157	90051
275	34314	90012
276	34494	90035
277	34570	89785
278	34747	89796
279	34918	89789
280	35016	89597
281	35107	89385
282	35185	89145
283	35353	89130
284	35443	88918
285	35510	88651
286	35589	88415
287	35676	88199
288	35821	88128
289	35964	88050
290	36024	87770
291	36086	87498
292	36163	87261
293	36263	87081
294	36326	86815
295	36510	86836
296	36734	86950
297	36824	86746
298	36933	86589
299	36991	86312
300	37087	86125
301	37166	85900
302	37275	85746
303	37347	85506
304	37460	85361
305	37596	85268
306	37663	85018
307	37851	85043
308	37917	84792
309	37982	84540
310	38062	84325
311	38156	84139
312	38209	83866
313	38261	83591
314	38388	83480
315	38446	83220
316	38519	82992
317	38653	82897
318	38730	82682
319	38893	82649
320	38967	82425
321	39021	82163
322	39185	82132
323	39237	81864
324	39305	81633
325	39364	81385
326	39426	81143
327	39551	81032
328	39620	80805
329	39743	80691
330	39833	80509
331	39896	80273
332	39971	80063
333	40113	79987
334	40255	79910
335	40344	79729
336	40468	79615
337	40560	79441
338	40651	79264
339	40713	79032
340	40845	78936
341	41010	78902
342	41102	78729
343	41159	78489
344	41323	78454
345	41394	78243
346	41559	78209
347	41617	77973
348	41668	77725
349	41755	77546
350	41848	77378
351	41913	77159
352	41971	76927
353	42028	76696
354	42187	76651
355	42276	76478
356	42361	76298
357	42419	76070
358	42541	75958
359	42626	75779
360	42786	75736
361	42946	75690
362	43033	75516
363	43093	75295
364	43161	75088
365	43294	74995
366	43421	74893
367	43478	74669
368	43547	74467
369	43596	74231
370	43682	74059
371	43771	73893
372	43935	73853
373	44096	73807
374	44185	73642
375	44242	73423
376	44310	73224
377	44383	73033
378	44546	72991
379	44627	72813
380	44752	72708
381	44845	72551
382	44911	72350
383	45041	72254
384	45145	72115
385	45251	71980
386	45417	71940
387	45488	71750
388	45559	71560
389	45685	71456
390	45762	71277
391	45894	71183
392	45964	70992
393	46091	70892
394	46154	70692
395	46254	70550
396	46349	70399
397	46444	70250
398	46514	70063
